"identifiantUnique","nombreAbonnes"
"UCL86g0rMsUGcFBwPOxe93Bw",152000
"UCJgDzk8RDB_gSsn0ZGxLODA",1030000
"UCr9BJHrQC7eoM-VAFEyjhTA",423000
"UCwjEj4uF1sC9bchBhDUsGlA",676000
"UCLmjvT_fk1b4Yjvw5osjx0A",490000
"UCvWWf-LYjaujE50iYai8WgQ",1470000
"UCSICXvpNlDst6xClTl120BA",30000
"UCKaCalz5N5ienIbfPzEbYuA",19600000
"UC83UgoYfcdUuXeUUGscC5Mg",92300
"UC6wMMhzk4PbP_jBSMu8Mv7Q",1280000
"UCRhvdQKkbSamakfuFIhC7uA",8730000
"UCzNTVzprq6UG7kBK0LIDtUw",4130000
"UCzDuOKk9mtva3Bf6Stpyhxw",65400
"UCJcjk44Wjpxf6yX5_XtCqAA",683000
"UCNhcopSj1dbR6nm3QEA5arQ",1010000
"UC960cXgEv6mCZ5iGnWSd0oQ",1520000
"UCuo9VyowIT-ljA5G2ZuC6Yw",1810000
"UCD6mBIpnABfPV5Gx5pqwo8w",1080000
"UCq5xkl31kHBnpjS4OB6RABA",221000
"UC1sELGmy5jp5fQUugmuYlXQ",12700000
"UC2FZQeaJkpnO6IMkQglvPsg",791000
"UCD1Em4q90ZUK2R5HKesszJg",20300000
"UCdVdnPKwwVqJzPmMra34D5g",151000
"UCxE5jEls-T0QtlTHT8lI1lw",211000
"UC1TMUbbN0uB0KMh3-XxmUNA",5780000
"UCZSNzBgFub_WWil6TOTYwAg",23500000
"UCTv-XvfzLX3i4IGWAm4sbmA",10000000
"UCfw2hvuj40AChU7n-N-PRHA",1420000
"UCKwsC0eqm1rXRxuudFhYDcg",1380000
"UC2ksCKw_b29MUgvUaBf9tng",216000
"UCb1Ti1WKPauPpXkYKVHNpsw",754000
"UCrOT0_gAQMrZWzO2vfoeJfw",346000
"UCnhkZh8CL7mhO83g_325JsA",669000
"UCLe_q9axMaeTbjN0hy1Z9xA",1090000
"UCJekW1Vj5fCVEGdye_mBN6Q",10500000
"UCfH0SjEH1dszKPQLMuLKcCQ",1040000
"UCH6ppHEvV3_WIXEwmhv9HEg",322000
"UCrp_UI8XtuYfpiqluWLD7Lw",2690000
"UC10PKxYVMsY_41g2q9AvgQw",13100
"UCcg171okllPcyT6Sm5iBb7A",142000
"UCobsw3Oay9MvR3X3CwrWeUw",1110000
"UCYRrP22txtZdPr7t2IxkR9w",401000
"UCYs2DbQVHdpToAu-ZrMoKBg",1290000
"UC8FnJrfl4OeqtunWP38v2tg",26200
"UCCyn0urPyjrNvcNXPRQFgAQ",1970000
"UC5UYMeKfZbFYnLHzoTJB1xA",1860000
"UCu_YquoQYKR3GpP82TO-zRw",905000
"UCr4kgAUTFkGIwlWSodg43QA",1910000
"UCC8FSfSnbjiZ6vGr68ZLtzg",2260000
"UCXGgrKt94gR6lmN4aN3mYTg",5500000
"UCcOTVI8YJJud1A6aRYrV4sg",477000
"UCsBjURrPoezykLs9EqgamOA",2950000
"UCWc8CackfCo4q46FpEWBcPg",9520000
"UC8EP21iEkGNcKOSpOuJw4Dw",1360000
"UCWsDFcIhY2DBi3GB5uykGXA",23500000
"UCE2606prvXQc_noEqKxVJXA",15900000
"UCGX7nGXpz-CmO_Arg-cgJ7A",1710000
"UC0qaslKS8I3ENU0jRo5Le_w",19500
"UCUKpLWyiksDzWN-e52uDAjg",1850000
"UCJPG1GH5jJaWQqiULvRXh3g",14700
"UC9m9uR_gfIlh-wGiK5vg63Q",93900
"UCaELs8oQy816xO_7vQiNoqA",1380000
"UCJIufsLllvA1W_XvbIBg9mg",84100
"UCQMELFlXQL38KPm8kM-4Adg",3620000
"UCyzGslwGeHYbXiMefePIbPw",476000
"UCH6Xtt4GpcQXjOq0_PTDhAw",1530000
"UCXvIzxu-1KEcd4z6WbKpccQ",126000
"UCanXR6VZeOdrJ4dg0u8oT4g",454000
"UCnr0s22jcrhjY58sHHpBDdw",23800
"UCEC4MGznkJXV76TI42kl1Dw",2120000
"UC8B1sNPsg-VSCq6hkZdt9qw",3800000
"UC2Mr_YNd6liFrL5YbKaNxSQ",296000
"UC-QX2gX4bPK2dmV5HUmrihg",6400000
"UCM0V8r4kuIWIl6Sy-NHj2lg",873000
"UCblfuW_4rakIf2h6aqANefA",15000000
"UCcbPQtclBJp_8se9a2t8AoA",260000
"UCrxr7s-AH_qoMD580fSOX0g",533000
"UC6wBro4B4pf9xnBh9Xi2zcQ",1050000
"UCO-85LYfB61OP4SRAgpfncw",1200000
"UCdC0An4ZPNr_YiFiYoVbwaw",17900000
"UCM-OUiiSxPOELCMQhiMWujg",401000
"UC5gxP-2QqIh_09djvlm9Xcg",40200000
"UCTToCEh8CNjLEDeTXy0NZIQ",1640000
"UC03onrqVhvdC44RhorJ4roQ",876000
"UC8HlbqYj-9qTta5WleFvNZw",4410000
"UCkK4Tzb9ieuAhcyWUZnLBBQ",315000
"UCIK83dbsz-IacK7h3wcdlIw",445000
"UCyOUOh_JVpkYPM1JztXoleQ",5850000
"UCDn5zbDIhRG97O2rqia9Gag",749000
"UCZprw7Bxzfh2IysXNnl1S3g",834000
"UCQeRaTukNYft1_6AZPACnog",2480000
"UCiMg6RqrpxydecVeQNHihxg",2000000
"UCT_yBgKSiwb3WP4ACPnF5nA",269000
"UCHZk9MrT3DGWmVqdsj5y0EA",898000
"UCK7IIV6Q2junGSdYK3BmZMg",4480000
"UCfIjR00qhYUFkbWIugAAbGg",124000
"UCkf_EFKPgJd7Z_oJnR-Nc0Q",653000
"UCLH9jJetAPs9rKOnx7eWc5g",163000
"UCat6bC0Wrqq9Bcq7EkH_yQw",491000
"UCwTEowO5B-n6Iy6KWdHHhJw",989000
"UC8ubYinMfxGj3nD7_Xn-pCw",114000
"UCiTKDr_n2V6TM-hy1PxdiQA",92700
"UCwdEr_DVvYp6Maf-OTw7z_w",638000
"UCBklZcQ3pGH5kwRJHw74WRQ",76500
"UCfOrKQtC1tDfGf_fFVb8pYw",1550000
"UCxcRDeIBhbQqulLdm2hzLwQ",1240000
"UCVhibwHk4WKw4leUt6JfRLg",963000
"UChK8e5J-YmjVFOWZy12fEow",96400
"UCNXzK2fh6h04Dh27IdTlT_g",178000
"UC4GAfKTX0YdLhfkXg9JiVzQ",283000
"UCuaiQk1XUTc3q4HaL36E_Dg",72500
"UCgKzdfWnTie2OD4bfaZKaQw",61100
